review_id,date,user_name,stars,review,product_id,product,reply_by,reply
29957294,2026-06-15,صفیه حسینخانی,3,,40839482,کرم آبرسان برنج 50 گرم,,
29957287,2026-06-15,صفیه حسینخانی,3,,41330168,رژ لب مخملی و مات کره ای مایع لیدوو LEADUU پک 5 عددی,,
29957281,2026-06-15,صفیه حسینخانی,5,,42391921,کرم دور چشم ویتامین سی مدل پرتقالی,,
29944005,2026-06-15,مریم,5,,40123838,اسپری ضد تعریق داو dove 48 ساعته در انواع رایحه ها 250 میل,,
29944004,2026-06-15,مریم,5,,45094363,اسپری ضد تعریق زنانه رکسونا مدل اسپورت SPORT حجم 200 میل با ماندگاری 72 ساعت,,
29943999,2026-06-15,مریم,5,,35209616,اسپری ضد تعریق زنانه رکسونا Rexona مدل Cotton Dry روسی,,
29933003,2026-06-14,Maki,5,,42274849,پک بالم لب و کرم دست آووکادو سادور SADOER مناسب هدیه,,
29930485,2026-06-14,فاطمه,5,,44181323,استیک ضد تعریق زنانه آمبرلا مدل وایت اسموت Smoth حجم 75 میلی لیتر انقضا 1407,,
29930480,2026-06-14,فاطمه,5,,38615116,کرم پودر گابرینی تیوپی مدل Derma اصل,,
29930472,2026-06-14,فاطمه,5,,46496418,ست براش آرایشی سوییت بیوتی 4 تیکه مدل دسته صورتی,,
